molecule,communityId
NM_001001874,1
NM_001001890,1
NM_001001894,1
NM_001001924,1
NM_001001925,1
NM_001001933,1
NM_001001937,1
NM_001001971,1
NM_001001973,1
NM_001001976,1
NM_001001994,1
NM_001001995,1
NM_001001996,1
NM_001002017,1
NM_001002018,1
NM_001002026,1
NM_001002257,1
NM_001002258,1
NM_001002259,1
NM_001002262,1
NM_001002266,1
NM_001002269,1
NM_001002292,1
NM_001002295,1
NM_001002296,1
NM_001002759,1
NM_001002762,1
NM_001002796,1
NM_001002800,1
NM_001002810,1
NM_001002814,1
NM_001002838,1
NM_001002844,1
NM_001002860,1
NM_001002862,1
NM_001002876,1
NM_001002901,1
NM_001002913,1
NM_001002914,1
NM_001002924,1
NM_001002926,1
NM_001003398,1
NM_001003406,1
NM_001003407,1
NM_001003652,1
NM_001003665,1
NM_001003674,1
NM_001003675,1
NM_001003676,1
NM_001003681,1
NM_001003683,1
NM_001003692,1
NM_001003694,1
NM_001003698,1
NM_001003699,1
NM_001003700,1
NM_001003712,1
NM_001003715,1
NM_001003716,1
NM_001003722,1
NM_001003790,1
NM_001003791,1
NM_001003792,1
NM_001003793,1
NM_001003794,1
NM_001003795,1
NM_001003799,1
NM_001003800,1
NM_001003809,1
NM_001003810,1
NM_001003818,1
NM_001003841,1
NM_001003845,1
NM_001003897,1
NM_001003937,1
NM_001003941,1
NM_001004065,1
NM_001004125,1
NM_001004297,1
NM_001004301,1
NM_001004304,1
NM_001004308,1
NM_001004318,1
NM_001004325,1
NM_001004328,1
NM_001004339,1
NM_001004342,1
NM_001004354,1
NM_001004360,1
NM_001004419,1
NM_001004434,1
NM_001004441,1
NM_001004720,1
NM_001005,1
NM_001005210,1
NM_001005212,1
NM_001005242,1
NM_001005271,1
NM_001005273,1
NM_001005335,1
NM_001005353,1
NM_001005354,1
NM_001005356,1
NM_001005360,1
NM_001005361,1
NM_001005362,1
NM_001005366,1
NM_001005368,1
NM_001005386,1
NM_001005388,1
NM_001005389,1
NM_001005404,1
NM_001005405,1
NM_001005463,1
NM_001005473,1
NM_001005505,1
NM_001005526,1
NM_001005738,1
NM_001005743,1
NM_001005744,1
NM_001005745,1
NM_001005746,1
NM_001005747,1
NM_001005781,1
NM_001005782,1
NM_001005849,1
NM_001005851,1
NM_001005862,1
NM_001005915,1
NM_001006115,1
NM_001006600,1
NM_001006605,1
NM_001006610,1
NM_001006622,1
NM_001006623,1
NM_001006625,1
NM_001006626,1
NM_001006627,1
NM_001006630,1
NM_001006632,1
NM_001006634,1
NM_001006636,1
NM_001006638,1
NM_001006639,1
NM_001006640,1
NM_001006642,1
NM_001006656,1
NM_001006657,1
NM_001006932,1
NM_001006943,1
NM_001006945,1
NM_001006946,1
NM_001007,1
NM_001007024,1
NM_001007025,1
NM_001007027,1
NM_001007033,1
NM_001007072,1
NM_001007075,1
NM_001007088,1
NM_001007094,1
NM_001007097,1
NM_001007098,1
NM_001007099,1
NM_001007100,1
NM_001007102,1
NM_001007122,1
NM_001007139,1
NM_001007156,1
NM_001007169,1
NM_001007188,1
NM_001007225,1
NM_001007226,1
NM_001007228,1
NM_001007229,1
NM_001007230,1
NM_001007233,1
NM_001007234,1
NM_001007237,1
NM_001007239,1
NM_001007246,1
NM_001007250,1
NM_001007257,1
NM_001007267,1
NM_001007269,1
NM_001007270,1
NM_001007278,1
NM_001007464,1
NM_001007466,1
NM_001007468,1
NM_001007470,1
NM_001007471,1
NM_001007523,1
NM_001007524,1
NM_001007538,1
NM_001007553,1
NM_001007559,1
NM_001007561,1
NM_001007793,1
NM_001008216,1
NM_001008220,1
NM_001008222,1
NM_001008225,1
NM_001008226,1
NM_001008228,1
NM_001008229,1
NM_001008239,1
NM_001008272,1
NM_001008273,1
NM_001008388,1
NM_001008390,1
NM_001008391,1
NM_001008392,1
NM_001008393,1
NM_001008394,1
NM_001008396,1
NM_001008397,1
NM_001008410,1
NM_001008493,1
NM_001008495,1
NM_001008503,1
NM_001008504,1
NM_001008505,1
NM_001008528,1
NM_001008537,1
NM_001008539,1
NM_001008541,1
NM_001008564,1
NM_001008566,1
NM_001008657,1
NM_001008660,1
NM_001008701,1
NM_001008707,1
NM_001008709,1
NM_001008710,1
NM_001008711,1
NM_001008723,1
NM_001008738,1
NM_001008744,1
NM_001008749,1
NM_001008777,1
NM_001008781,1
NM_001008801,1
NM_001008860,1
NM_001008892,1
NM_001008894,1
NM_001008895,1
NM_001008910,1
NM_001008938,1
NM_001009185,1
NM_001009186,1
NM_001009554,1
NM_001009555,1
NM_001009566,1
NM_001009570,1
NM_001009571,1
NM_001009608,1
NM_001009814,1
NM_001009880,1
NM_001009881,1
NM_001009899,1
NM_001009909,1
NM_001009921,1
NM_001009922,1
NM_001009931,1
NM_001009944,1
NM_001009958,1
NM_001009959,1
NM_001009960,1
NM_001009984,1
NM_001009992,1
NM_001009993,1
NM_001010000,1
NM_001010844,1
NM_001010847,1
NM_001010848,1
NM_001010851,1
NM_001010852,1
NM_001010854,1
NM_001010855,1
NM_001010857,1
NM_001010858,1
NM_001010861,1
NM_001010863,1
NM_001010870,1
NM_001010874,1
NM_001010875,1
NM_001010879,1
NM_001010880,1
NM_001010883,1
NM_001010888,1
NM_001010891,1
NM_001010895,1
NM_001010898,1
NM_001010903,1
NM_001010904,1
NM_001010909,1
NM_001010915,1
NM_001010922,1
NM_001010923,1
NM_001010924,1
NM_001010926,1
NM_001010927,1
NM_001010931,1
NM_001010932,1
NM_001010933,1
NM_001010934,1
NM_001010935,1
NM_001010942,1
NM_001010969,1
NM_001010979,1
NM_001010982,1
NM_001010984,1
NM_001010989,1
NM_001011513,1
NM_001011537,1
NM_001011544,1
NM_001011554,1
NM_001011657,1
NM_001011663,1
NM_001011666,1
NM_001011667,1
NM_001011668,1
NM_001011669,1
NM_001011670,1
NM_001011671,1
NM_001011703,1
