miR,communityId
NM_001308319,3272
NM_001312919,3272
NM_001314052,3272
NM_001314063,3272
NM_001316668,3272
NM_001316919,3272
NM_001316920,3272
NM_001316969,3272
NM_001317946,3272
NM_001319238,3272
NM_001319239,3272
NM_001320735,3272
NM_001320739,3272
NM_001320986,3272
NM_001321877,3272
NM_001321995,3272
NM_001323556,3272
NM_001326542,3272
NM_001329,3272
NM_001329938,3272
NM_001330110,3272
NM_001330167,3272
NM_001330331,3272
NM_001330490,3272
NM_001331036,3272
NM_001346187,3272
NM_001346218,3272
NM_001346432,3272
NM_001346810,3272
NM_001349331,3272
NM_001349338,3272
NM_001349341,3272
NM_001349344,3272
NM_001349757,3272
NM_001350841,3272
NM_001350842,3272
NM_001350849,3272
NM_001351169,3272
NM_001351174,3272
NM_001351291,3272
NM_001351486,3272
NM_001351805,3272
NM_001351819,3272
NM_001351824,3272
NM_001352127,3272
NM_001352585,3272
NM_001353765,3272
NM_001354509,3272
NM_001354538,3272
NM_001354546,3272
NM_001354926,3272
NM_001354983,3272
NM_001363556,3272
NM_001363577,3272
NM_001363695,3272
NM_001363714,3272
NM_001363741,3272
NM_001363940,3272
NM_001364183,3272
NM_001364187,3272
NM_001365635,3272
NM_001366007,3272
NM_001366230,3272
NM_001366280,3272
NM_001367600,3272
NM_001367714,3272
NM_001367716,3272
NM_001367774,3272
NM_001367834,3272
NM_001369424,3272
NM_001369537,3272
NM_001369543,3272
NM_001369768,3272
NM_001369787,3272
NM_001369826,3272
NM_001369828,3272
NM_001370351,3272
NM_001370528,3272
NM_001370548,3272
NM_001371085,3272
NM_001371194,3272
NM_001371575,3272
NM_001374822,3272
NM_001374825,3272
NM_001375323,3272
NM_001375547,3272
NM_001375720,3272
NM_001376113,3272
NM_001376166,3272
NM_001376179,3272
NM_001377538,3272
NM_001377539,3272
NM_001377540,3272
NM_001377551,3272
NM_001377552,3272
NM_001377557,3272
NM_001377921,3272
NM_001377922,3272
NM_001377925,3272
NM_001378373,3272
NM_001378374,3272
NM_001378414,3272
NM_001379277,3272
NM_001379291,3272
NM_001382683,3272
NM_001385079,3272
NM_001385285,3272
NM_001385286,3272
NM_001385288,3272
NM_001385290,3272
NM_001385292,3272
NM_001386339,3272
NM_001386342,3272
NM_001387468,3272
NM_001387850,3272
NM_001394031,3272
NM_001394353,3272
NM_001395159,3272
NM_001400425,3272
NM_001418,3272
NM_001518,3272
NM_001658,3272
NM_001759,3272
NM_001765,3272
NM_001812,3272
NM_001946,3272
NM_001967,3272
NM_001973,3272
NM_001993,3272
NM_002067,3272
NM_002072,3272
NM_002114,3272
NM_002238,3272
NM_002311,3272
NM_002399,3272
NM_002482,3272
NM_002483,3272
NM_002535,3272
NM_002618,3272
NM_002687,3272
NM_002835,3272
NM_003003,3272
NM_003045,3272
NM_003073,3272
NM_003221,3272
NM_003306,3272
NM_003368,3272
NM_003373,3272
NM_003409,3272
NM_003582,3272
NM_003608,3272
NM_003642,3272
NM_003686,3272
NM_003750,3272
NM_003970,3272
NM_004157,3272
NM_004274,3272
NM_004304,3272
NM_004323,3272
NM_004327,3272
NM_004334,3272
NM_004379,3272
NM_004380,3272
NM_004523,3272
NM_004564,3272
NM_004566,3272
NM_004570,3272
NM_004578,3272
NM_004586,3272
NM_004667,3272
NM_004766,3272
NM_004794,3272
NM_004814,3272
NM_004907,3272
NM_004985,3272
NM_005077,3272
NM_005120,3272
NM_005206,3272
NM_005239,3272
NM_005300,3272
NM_005349,3272
NM_005385,3272
NM_005410,3272
NM_005477,3272
NM_005502,3272
NM_005524,3272
NM_005542,3272
NM_005596,3272
NM_005640,3272
NM_005645,3272
NM_005655,3272
NM_005663,3272
NM_005746,3272
NM_005751,3272
NM_005786,3272
NM_005801,3272
NM_005811,3272
NM_005842,3272
NM_006027,3272
NM_006182,3272
NM_006266,3272
NM_006378,3272
NM_006467,3272
NM_006874,3272
NM_006912,3272
NM_006918,3272
NM_007019,3272
NM_007159,3272
NM_007167,3272
NM_007366,3272
NM_012247,3272
NM_012408,3272
NM_013246,3272
NM_013281,3272
NM_013293,3272
NM_013354,3272
NM_013436,3272
NM_013975,3272
NM_014023,3272
NM_014231,3272
NM_014315,3272
NM_014423,3272
NM_014458,3272
NM_014547,3272
NM_014602,3272
NM_014702,3272
NM_014774,3272
NM_014802,3272
NM_014892,3272
NM_014904,3272
NM_014921,3272
NM_014992,3272
NM_015001,3272
NM_015018,3272
NM_015027,3272
NM_015115,3272
NM_015137,3272
NM_015183,3272
NM_015207,3272
NM_015224,3272
NM_015230,3272
NM_015231,3272
NM_015382,3272
NM_015423,3272
NM_015429,3272
NM_015485,3272
NM_015496,3272
NM_015497,3272
NM_015520,3272
NM_015565,3272
NM_015576,3272
NM_015607,3272
NM_015641,3272
NM_015859,3272
NM_015915,3272
NM_015984,3272
NM_016078,3272
NM_016179,3272
NM_016269,3272
NM_016462,3272
NM_016548,3272
NM_016631,3272
NM_016823,3272
NM_017610,3272
NM_017676,3272
NM_017684,3272
NM_017747,3272
NM_017778,3272
NM_017798,3272
NM_017978,3272
NM_018036,3272
NM_018052,3272
NM_018061,3272
NM_018068,3272
NM_018079,3272
NM_018159,3272
NM_018199,3272
NM_018698,3272
NM_019074,3272
NM_020437,3272
NM_020766,3272
NM_020799,3272
NM_020801,3272
NM_020818,3272
NM_020921,3272
NM_021140,3272
NM_021148,3272
NM_021183,3272
NM_021193,3272
NM_021574,3272
NM_021649,3272
NM_022143,3272
NM_022344,3272
NM_022363,3272
NM_022477,3272
NM_022570,3272
NM_022652,3272
NM_022748,3272
NM_022782,3272
NM_022783,3272
NM_022894,3272
NM_023034,3272
NM_024071,3272
NM_024306,3272
NM_024324,3272
NM_024558,3272
NM_024631,3272
NM_024668,3272
NM_024884,3272
NM_024899,3272
NM_024908,3272
NM_024948,3272
NM_024955,3272
NM_025134,3272
NM_025155,3272
NM_025238,3272
NM_030767,3272
NM_030772,3272
NM_030793,3272
NM_030799,3272
NM_030885,3272
NM_030962,3272
NM_030975,3272
NM_031307,3272
NM_031453,3272
NM_031902,3272
NM_031923,3272
NM_032142,3272
NM_032231,3272
NM_032508,3272
NM_032588,3272
NM_032682,3272
NM_032740,3272
NM_032837,3272
NM_032970,3272
NM_033128,3272
NM_033136,3272
NM_033211,3272
NM_033289,3272
NM_033290,3272
NM_033420,3272
NM_033551,3272
NM_052811,3272
NM_057749,3272
NM_080671,3272
NM_080678,3272
NM_133445,3272
NM_133468,3272
NM_138288,3272
NM_138360,3272
NM_138362,3272
NM_138576,3272
NM_139015,3272
NM_139076,3272
NM_144598,3272
NM_144607,3272
NM_144693,3272
NM_145284,3272
NM_145307,3272
NM_147185,3272
NM_152265,3272
NM_152298,3272
NM_152330,3272
NM_152400,3272
NM_152404,3272
NM_152417,3272
NM_152739,3272
NM_152749,3272
NM_152829,3272
NM_153705,3272
NM_153757,3272
NM_170609,3272
NM_170733,3272
NM_172230,3272
NM_172362,3272
NM_173497,3272
NM_173500,3272
NM_173647,3272
NM_175068,3272
NM_175080,3272
NM_177531,3272
NM_178457,3272
NM_178832,3272
NM_181334,3272
NM_181510,3272
NM_181698,3272
NM_181723,3272
NM_181799,3272
NM_181800,3272
NM_181801,3272
NM_181900,3272
NM_182522,3272
NM_182643,3272
NM_182966,3272
NM_183009,3272
NM_183047,3272
NM_183048,3272
NM_183422,3272
NM_197947,3272
NM_197948,3272
NM_197949,3272
NM_197950,3272
NM_198080,3272
NM_198336,3272
NM_198337,3272
NM_198391,3272
NM_198395,3272
NM_198511,3272
NM_198721,3272
NM_198859,3272
NM_199245,3272
NM_199327,3272
NM_201269,3272
NM_201595,3272
NM_203372,3272
NM_205836,3272
NM_205842,3272
NM_207116,3272
NM_207304,3272
NM_207517,3272
NM_213590,3272
NM_213655,3272
XM_005245551,3272
XM_005245579,3272
XM_005252464,3272
XM_005252616,3272
XM_005254287,3272
XM_005261738,3272
XM_005264455,3272
XM_005267502,3272
XM_005268075,3272
XM_005269458,3272
XM_005269469,3272
XM_006715321,3272
XM_006719135,3272
XM_006720070,3272
XM_006720094,3272
XM_006721246,3272
XM_006722327,3272
XM_011509588,3272
XM_011510792,3272
XM_011513958,3272
XM_011518125,3272
XM_011518130,3272
XM_011518311,3272
XM_011519741,3272
XM_011520997,3272
XM_011522424,3272
XM_011525844,3272
XM_011532333,3272
XM_011534141,3272
XM_011534753,3272
XM_011535328,3272
XM_011536908,3272
XM_011537086,3272
XM_011540210,3272
XM_011543358,3272
XM_017004558,3272
XM_017007169,3272
XM_017008560,3272
XM_017009449,3272
XM_017012405,3272
XM_017015598,3272
XM_017015599,3272
XM_017015925,3272
XM_017016749,3272
XM_017021151,3272
XM_017021153,3272
XM_017021421,3272
XM_017024878,3272
XM_017029717,3272
XM_017029718,3272
XM_017029719,3272
XM_024447887,3272
XM_024447889,3272
XM_024447891,3272
XM_024449526,3272
XM_024451393,3272
XM_047416094,3272
XM_047416245,3272
XM_047416429,3272
XM_047416636,3272
XM_047418098,3272
XM_047418101,3272
XM_047419699,3272
XM_047421360,3272
XM_047421706,3272
XM_047422629,3272
XM_047424518,3272
XM_047424527,3272
XM_047425725,3272
XM_047426421,3272
XM_047427187,3272
XM_047427539,3272
XM_047428071,3272
XM_047428535,3272
XM_047428536,3272
XM_047429359,3272
XM_047430242,3272
XM_047431200,3272
XM_047431691,3272
XM_047432115,3272
XM_047433997,3272
XM_047434037,3272
XM_047434442,3272
XM_047434443,3272
XM_047437574,3272
XM_047438518,3272
XM_047441052,3272
XM_047442334,3272
XM_047444258,3272
XM_047445532,3272
XM_047445554,3272
XM_047447871,3272
XM_047448797,3272
XM_047448888,3272
XM_047448890,3272
XM_047448891,3272
XM_047448893,3272
XM_047448896,3272
XM_047449171,3272
XM_047449232,3272
XM_047449505,3272
XM_047449722,3272
hsa-miR-381-3p,3272
NM_000124,20000
NM_000125,20000
NM_000165,20000
NM_000284,20000
NM_000565,20000
NM_000718,20000
NM_000814,20000
NM_000863,20000
NM_000865,20000
NM_000945,20000
NM_001001481,20000
NM_001002026,20000
NM_001003937,20000
NM_001005386,20000
NM_001008660,20000
NM_001008860,20000
NM_001008892,20000
NM_001008894,20000
NM_001009571,20000
NM_001010927,20000
NM_001011513,20000
NM_001012339,20000
NM_001012418,20000
NM_001017923,20000
NM_001024956,20000
NM_001031733,20000
NM_001032282,20000
NM_001033520,20000
NM_001035511,20000
NM_001035512,20000
NM_001035513,20000
NM_001039656,20000
NM_001039845,20000
NM_001040100,20000
NM_001040446,20000
NM_001040712,20000
NM_001042383,20000
NM_001042400,20000
NM_001042406,20000
NM_001042437,20000
NM_001047160,20000
NM_001077196,20000
NM_001077269,20000
NM_001077442,20000
NM_001077443,20000
NM_001079668,20000
NM_001079867,20000
NM_001079906,20000
NM_001079907,20000
NM_001080396,20000
NM_001080545,20000
NM_001083617,20000
NM_001085382,20000
NM_001098205,20000
NM_001098207,20000
NM_001098208,20000
NM_001099668,20000
NM_001099669,20000
NM_001100389,20000
NM_001101654,20000
NM_001105518,20000
NM_001106,20000
NM_001109689,20000
NM_001112732,20000
NM_001114089,20000
NM_001114176,20000
NM_001120,20000
NM_001122740,20000
NM_001122741,20000
NM_001122742,20000
NM_001122964,20000
NM_001127371,20000
NM_001127493,20000
NM_001128126,20000
NM_001130037,20000
NM_001130156,20000
NM_001130157,20000
NM_001130849,20000
NM_001130850,20000
NM_001130961,20000
NM_001130996,20000
NM_001134366,20000
NM_001134405,20000
NM_001134406,20000
NM_001134665,20000
NM_001134666,20000
NM_001135000,20000
NM_001135095,20000
NM_001135863,20000
NM_001135864,20000
NM_001136509,20000
NM_001139514,20000
NM_001142274,20000
NM_001142772,20000
NM_001146069,20000
NM_001160706,20000
NM_001164496,20000
NM_001165881,20000
NM_001165883,20000
NM_001165884,20000
NM_001165885,20000
NM_001165886,20000
NM_001165887,20000
NM_001165977,20000
NM_001165978,20000
NM_001166159,20000
NM_001166295,20000
NM_001168347,20000
NM_001168378,20000
NM_001168379,20000
NM_001171025,20000
NM_001171111,20000
NM_001172087,20000
NM_001173454,20000
NM_001173455,20000
NM_001173456,20000
NM_001174156,20000
NM_001177663,20000
NM_001177664,20000
NM_001177665,20000
NM_001184783,20000
NM_001184888,20000
NM_001190983,20000
NM_001195432,20000
NM_001195433,20000
NM_001195434,20000
NM_001195470,20000
NM_001197219,20000
NM_001197221,20000
NM_001197223,20000
NM_001197320,20000
NM_001198818,20000
NM_001198819,20000
NM_001198820,20000
NM_001199135,20000
NM_001199324,20000
NM_001199973,20000
NM_001199974,20000
NM_001199987,20000
NM_001201480,20000
NM_001201481,20000
NM_001201482,20000
NM_001201564,20000
NM_001205248,20000
NM_001205250,20000
NM_001206789,20000
NM_001206946,20000
NM_001242809,20000
NM_001242813,20000
NM_001242814,20000
NM_001243194,20000
NM_001243256,20000
NM_001243327,20000
NM_001243328,20000
NM_001243597,20000
NM_001243812,20000
NM_001247,20000
NM_001253799,20000
NM_001253801,20000
NM_001254728,20000
NM_001254729,20000
NM_001254738,20000
NM_001256126,20000
NM_001256427,20000
NM_001256658,20000
NM_001256661,20000
NM_001256864,20000
NM_001257199,20000
NM_001258388,20000
NM_001258415,20000
NM_001261424,20000
NM_001261425,20000
NM_001267043,20000
NM_001267051,20000
NM_001271015,20000
NM_001271161,20000
NM_001271754,20000
NM_001271755,20000
NM_001271756,20000
NM_001277061,20000
NM_001277067,20000
NM_001277333,20000
NM_001278172,20000
NM_001278221,20000
NM_001278252,20000
NM_001278547,20000
NM_001278617,20000
NM_001278639,20000
NM_001278685,20000
NM_001281476,20000
NM_001282405,20000
NM_001282755,20000
NM_001282756,20000
NM_001282850,20000
NM_001282928,20000
NM_001282940,20000
NM_001283018,20000
NM_001283026,20000
NM_001284338,20000
NM_001284339,20000
NM_001286116,20000
NM_001286233,20000
NM_001286237,20000
NM_001286242,20000
NM_001286569,20000
NM_001286638,20000
NM_001286694,20000
NM_001286695,20000
NM_001286839,20000
NM_001287741,20000
NM_001287753,20000
NM_001288713,20000
NM_001288714,20000
NM_001288715,20000
NM_001288716,20000
NM_001288725,20000
NM_001288726,20000
NM_001289908,20000
NM_001294343,20000
NM_001294344,20000
NM_001297748,20000
NM_001297749,20000
NM_001300828,20000
NM_001301830,20000
NM_001304527,20000
NM_001304531,20000
NM_001308018,20000
NM_001315508,20000
NM_001317113,20000
NM_001317116,20000
NM_001317119,20000
NM_001317941,20000
NM_001317994,20000
NM_001318229,20000
NM_001318508,20000
NM_001318751,20000
NM_001319043,20000
NM_001319044,20000
NM_001319045,20000
NM_001320679,20000
NM_001320816,20000
NM_001321126,20000
NM_001321219,20000
NM_001321319,20000
NM_001321860,20000
NM_001322388,20000
NM_001322872,20000
NM_001322927,20000
NM_001324116,20000
NM_001329700,20000
NM_001329701,20000
NM_001330059,20000
NM_001330122,20000
NM_001330223,20000
NM_001330239,20000
NM_001330305,20000
NM_001330442,20000
NM_001330443,20000
NM_001330680,20000
NM_001332,20000
NM_001347872,20000
NM_001347943,20000
NM_001348946,20000
NM_001349250,20000
NM_001350206,20000
NM_001350294,20000
NM_001350309,20000
NM_001350512,20000
NM_001350513,20000
NM_001350706,20000
NM_001350709,20000
NM_001353108,20000
NM_001353109,20000
NM_001353110,20000
NM_001353111,20000
NM_001353112,20000
NM_001353119,20000
NM_001353120,20000
NM_001353121,20000
NM_001353122,20000
NM_001353125,20000
NM_001354228,20000
NM_001354229,20000
NM_001354232,20000
NM_001354238,20000
NM_001354240,20000
NM_001354241,20000
NM_001354243,20000
NM_001354245,20000
NM_001354247,20000
NM_001354249,20000
NM_001354253,20000
NM_001354255,20000
NM_001354257,20000
NM_001354258,20000
NM_001354260,20000
NM_001354262,20000
NM_001354264,20000
NM_001354266,20000
NM_001354267,20000
NM_001354268,20000
NM_001354270,20000
NM_001354271,20000
NM_001354274,20000
NM_001354275,20000
NM_001354276,20000
NM_001354277,20000
NM_001354278,20000
NM_001354279,20000
NM_001354280,20000
NM_001354281,20000
NM_001354282,20000
NM_001354411,20000
NM_001354420,20000
NM_001357,20000
NM_001360236,20000
NM_001363046,20000
NM_001363540,20000
NM_001363679,20000
NM_001363711,20000
NM_001363847,20000
NM_001366165,20000
NM_001366466,20000
NM_001366471,20000
NM_001368395,20000
NM_001368397,20000
NM_001368398,20000
NM_001368400,20000
NM_001368769,20000
NM_001369781,20000
NM_001369782,20000
NM_001369783,20000
NM_001369785,20000
NM_001370130,20000
NM_001370131,20000
NM_001371910,20000
NM_001371911,20000
NM_001374782,20000
NM_001375833,20000
NM_001375834,20000
NM_001375835,20000
NM_001375836,20000
NM_001377298,20000
NM_001377299,20000
NM_001377300,20000
NM_001377301,20000
NM_001377401,20000
NM_001377403,20000
NM_001378847,20000
NM_001378848,20000
NM_001378851,20000
NM_001379226,20000
NM_001384546,20000
NM_001384547,20000
NM_001384889,20000
NM_001384899,20000
NM_001385305,20000
NM_001385367,20000
NM_001385368,20000
NM_001393360,20000
NM_001395891,20000
NM_001396040,20000
NM_001396041,20000
NM_001396043,20000
NM_001398283,20000
NM_001407,20000
NM_001420,20000
NM_001690,20000
NM_001814,20000
NM_001845,20000
NM_002213,20000
NM_002223,20000
NM_002448,20000
NM_002493,20000
NM_002667,20000
NM_002776,20000
NM_002830,20000
NM_002839,20000
NM_002971,20000
NM_003115,20000
NM_003238,20000
NM_003274,20000
NM_003317,20000
NM_003358,20000
NM_003387,20000
NM_003843,20000
NM_003896,20000
NM_003924,20000
NM_004089,20000
NM_004091,20000
NM_004302,20000
NM_004391,20000
NM_004465,20000
NM_004550,20000
NM_004606,20000
NM_004620,20000
NM_004718,20000
NM_004737,20000
NM_004791,20000
NM_004948,20000
NM_004963,20000
NM_004966,20000
NM_005065,20000
NM_005149,20000
NM_005168,20000
NM_005249,20000
NM_005276,20000
NM_005570,20000
NM_005664,20000
NM_005766,20000
NM_005845,20000
NM_005870,20000
NM_005967,20000
NM_006016,20000
NM_006136,20000
NM_006154,20000
NM_006157,20000
NM_006258,20000
NM_006516,20000
NM_006575,20000
NM_006587,20000
NM_006609,20000
NM_006909,20000
NM_006984,20000
NM_007008,20000
NM_007011,20000
NM_007111,20000
NM_007166,20000
NM_007214,20000
NM_007315,20000
NM_007375,20000
NM_012213,20000
NM_012249,20000
NM_012345,20000
NM_012454,20000
NM_013937,20000
NM_013943,20000
NM_014033,20000
NM_014035,20000
NM_014056,20000
NM_014243,20000
NM_014337,20000
NM_014484,20000
NM_014576,20000
NM_014593,20000
NM_014660,20000
NM_014663,20000
NM_014705,20000
NM_014728,20000
NM_014781,20000
NM_014787,20000
NM_014823,20000
NM_014937,20000
NM_014942,20000
NM_015030,20000
NM_015056,20000
NM_015087,20000
NM_015101,20000
NM_015191,20000
NM_015250,20000
NM_015566,20000
NM_015610,20000
NM_015693,20000
NM_015879,20000
NM_015912,20000
NM_015962,20000
NM_016003,20000
NM_016037,20000
NM_016201,20000
NM_016271,20000
NM_016289,20000
NM_016369,20000
NM_016483,20000
NM_016511,20000
NM_016531,20000
NM_016952,20000
NM_017452,20000
NM_017453,20000
NM_017454,20000
NM_017515,20000
NM_017552,20000
NM_017752,20000
NM_017777,20000
NM_017858,20000
NM_017953,20000
NM_017954,20000
NM_018014,20000
NM_018143,20000
NM_018151,20000
NM_018299,20000
NM_018304,20000
NM_018356,20000
NM_018372,20000
NM_018387,20000
NM_018401,20000
NM_018555,20000
NM_018672,20000
NM_018712,20000
NM_018979,20000
NM_018994,20000
NM_019022,20000
NM_019035,20000
NM_019036,20000
NM_019040,20000
NM_019058,20000
NM_019114,20000
NM_019644,20000
NM_020062,20000
NM_020130,20000
NM_020153,20000
NM_020327,20000
NM_020398,20000
NM_020403,20000
NM_020457,20000
NM_020463,20000
NM_020464,20000
NM_020726,20000
NM_020774,20000
NM_020856,20000
NM_020927,20000
NM_020977,20000
NM_021214,20000
NM_021215,20000
NM_021229,20000
NM_021825,20000
NM_021960,20000
NM_022080,20000
NM_022443,20000
NM_022734,20000
NM_022763,20000
NM_022780,20000
NM_022825,20000
NM_022836,20000
NM_022843,20000
NM_024019,20000
NM_024057,20000
NM_024165,20000
NM_024421,20000
NM_024429,20000
NM_024512,20000
NM_024612,20000
NM_024622,20000
NM_024654,20000
NM_024838,20000
NM_024943,20000
NM_024953,20000
NM_024979,20000
NM_025069,20000
NM_025179,20000
NM_025180,20000
NM_025250,20000
NM_030759,20000
NM_030922,20000
NM_031314,20000
NM_031407,20000
NM_031844,20000
NM_032025,20000
NM_032043,20000
NM_032145,20000
NM_032153,20000
NM_032167,20000
NM_032510,20000
NM_032523,20000
NM_032532,20000
NM_032876,20000
NM_032998,20000
NM_033429,20000
NM_053031,20000
NM_053032,20000
NM_053281,20000
NM_080660,20000
NM_080764,20000
NM_080911,20000
NM_130392,20000
NM_133473,20000
NM_138290,20000
NM_138559,20000
NM_138732,20000
NM_138999,20000
NM_139068,20000
NM_139069,20000
NM_139070,20000
NM_139321,20000
NM_139322,20000
NM_144660,20000
NM_144707,20000
NM_144777,20000
NM_145290,20000
NM_145695,20000
NM_145739,20000
NM_145888,20000
NM_148175,20000
NM_148956,20000
NM_152414,20000
NM_152529,20000
NM_152558,20000
NM_152688,20000
NM_152697,20000
NM_152758,20000
NM_152943,20000
NM_153207,20000
NM_153449,20000
NM_153498,20000
NM_153645,20000
NM_153759,20000
NM_153828,20000
NM_173199,20000
NM_173588,20000
NM_173664,20000
