from,to
hsa-miR-127-5p,NM_001011544
hsa-miR-127-5p,NM_001012973
hsa-miR-127-5p,NM_001031683
hsa-miR-127-5p,NM_001042453
hsa-miR-127-5p,NM_001085451
hsa-miR-127-5p,NM_001099658
hsa-miR-127-5p,NM_001099660
hsa-miR-127-5p,NM_001100603
hsa-miR-127-5p,NM_001139517
hsa-miR-127-5p,NM_001139518
hsa-miR-127-5p,NM_001142616
hsa-miR-127-5p,NM_001144960
hsa-miR-127-5p,NM_001145073
hsa-miR-127-5p,NM_001172432
hsa-miR-127-5p,NM_001193453
hsa-miR-127-5p,NM_001194995
hsa-miR-127-5p,NM_001198961
hsa-miR-127-5p,NM_001198962
hsa-miR-127-5p,NM_001199397
hsa-miR-127-5p,NM_001199399
hsa-miR-127-5p,NM_001201965
hsa-miR-127-5p,NM_001242761
hsa-miR-127-5p,NM_001242762
hsa-miR-127-5p,NM_001242764
hsa-miR-127-5p,NM_001242766
hsa-miR-127-5p,NM_001252271
hsa-miR-127-5p,NM_001252385
hsa-miR-127-5p,NM_001256355
hsa-miR-127-5p,NM_001257990
hsa-miR-127-5p,NM_001271082
hsa-miR-127-5p,NM_001278622
hsa-miR-127-5p,NM_001281503
hsa-miR-127-5p,NM_001282404
hsa-miR-127-5p,NM_001286579
hsa-miR-127-5p,NM_001286580
hsa-miR-127-5p,NM_001289758
hsa-miR-127-5p,NM_001289759
hsa-miR-127-5p,NM_001292019
hsa-miR-127-5p,NM_001300831
hsa-miR-127-5p,NM_001303481
hsa-miR-127-5p,NM_001308390
hsa-miR-127-5p,NM_001320525
hsa-miR-127-5p,NM_001328422
hsa-miR-127-5p,NM_001330156
hsa-miR-127-5p,NM_001331125
hsa-miR-127-5p,NM_001347969
hsa-miR-127-5p,NM_001348156
hsa-miR-127-5p,NM_001348157
hsa-miR-127-5p,NM_001365040
hsa-miR-127-5p,NM_001374419
hsa-miR-127-5p,NM_001378974
hsa-miR-127-5p,NM_001549
hsa-miR-127-5p,NM_001686
hsa-miR-127-5p,NM_001762
hsa-miR-127-5p,NM_002106
hsa-miR-127-5p,NM_002693
hsa-miR-127-5p,NM_002873
hsa-miR-127-5p,NM_003088
hsa-miR-127-5p,NM_003151
hsa-miR-127-5p,NM_003182
hsa-miR-127-5p,NM_003667
hsa-miR-127-5p,NM_004109
hsa-miR-127-5p,NM_004762
hsa-miR-127-5p,NM_005189
hsa-miR-127-5p,NM_005382
hsa-miR-127-5p,NM_005720
hsa-miR-127-5p,NM_005918
hsa-miR-127-5p,NM_006043
hsa-miR-127-5p,NM_006826
hsa-miR-127-5p,NM_006854
hsa-miR-127-5p,NM_013362
hsa-miR-127-5p,NM_013996
hsa-miR-127-5p,NM_013997
hsa-miR-127-5p,NM_014930
hsa-miR-127-5p,NM_016115
hsa-miR-127-5p,NM_016642
hsa-miR-127-5p,NM_017456
hsa-miR-127-5p,NM_017559
hsa-miR-127-5p,NM_017581
hsa-miR-127-5p,NM_017933
hsa-miR-127-5p,NM_017993
hsa-miR-127-5p,NM_018281
hsa-miR-127-5p,NM_018334
hsa-miR-127-5p,NM_018908
hsa-miR-127-5p,NM_020186
hsa-miR-127-5p,NM_020877
hsa-miR-127-5p,NM_022128
hsa-miR-127-5p,NM_024093
hsa-miR-127-5p,NM_024326
hsa-miR-127-5p,NM_024553
hsa-miR-127-5p,NM_024629
hsa-miR-127-5p,NM_031495
hsa-miR-127-5p,NM_031496
hsa-miR-127-5p,NM_031963
hsa-miR-127-5p,NM_031990
hsa-miR-127-5p,NM_031991
hsa-miR-127-5p,NM_032144
hsa-miR-127-5p,NM_033120
hsa-miR-127-5p,NM_052960
hsa-miR-127-5p,NM_133338
hsa-miR-127-5p,NM_133339
hsa-miR-127-5p,NM_133340
hsa-miR-127-5p,NM_133341
hsa-miR-127-5p,NM_133342
hsa-miR-127-5p,NM_133344
hsa-miR-127-5p,NM_138333
hsa-miR-127-5p,NM_138341
hsa-miR-127-5p,NM_145863
hsa-miR-127-5p,NM_152269
hsa-miR-127-5p,NM_152412
hsa-miR-127-5p,NM_152653
hsa-miR-127-5p,NM_152687
hsa-miR-127-5p,NM_173562
hsa-miR-127-5p,NM_178229
hsa-miR-127-5p,NM_181643
hsa-miR-127-5p,NM_183043
hsa-miR-127-5p,NM_183044
hsa-miR-127-5p,NM_198478
hsa-miR-127-5p,NM_198569
hsa-miR-127-5p,NM_203341
hsa-miR-127-5p,NM_206996
hsa-miR-127-5p,XM_005248827
hsa-miR-127-5p,XM_005249729
hsa-miR-127-5p,XM_011538400
hsa-miR-127-5p,XM_011545948
hsa-miR-127-5p,XM_017012110
hsa-miR-127-5p,XM_017018806
